Frame,X1,Y1,X2,Y2,Confidence
1,970,896,1060,981,0.92
2,964,896,1055,980,0.93
3,958,896,1048,979,0.93
4,951,896,1042,979,0.94
5,944,896,1034,979,0.94
6,937,896,1027,978,0.93
7,928,894,1020,976,0.93
8,922,893,1012,976,0.92
9,914,892,1005,975,0.92
10,905,891,996,974,0.94
11,896,891,986,973,0.93
12,887,890,978,973,0.92
13,877,890,969,972,0.93
14,868,889,959,971,0.91
15,859,888,949,970,0.95
16,848,888,939,970,0.94
17,840,888,929,970,0.91
18,831,888,921,970,0.92
19,821,888,911,970,0.90
20,812,888,901,970,0.93
21,800,888,890,970,0.91
22,792,888,884,971,0.90
23,783,888,875,971,0.91
24,776,888,865,971,0.90
25,766,887,857,971,0.89
26,761,888,852,971,0.91
27,756,888,851,971,0.82
28,753,888,843,970,0.84
29,748,887,838,969,0.81
30,744,888,835,971,0.88
31,741,887,832,971,0.89
32,739,887,829,970,0.90
33,735,887,826,970,0.91
34,733,887,823,970,0.92
35,730,887,819,969,0.91
36,727,887,816,968,0.91
37,724,887,814,969,0.91
38,738,887,820,968,0.75
39,817,876,909,968,0.88
40,908,863,1001,954,0.89
41,995,848,1089,939,0.89
42,1088,835,1181,924,0.89
43,1179,820,1269,911,0.88
44,1262,807,1359,898,0.90
45,1354,794,1447,884,0.90
46,1440,780,1536,869,0.89
47,1527,768,1622,858,0.88
48,1612,755,1713,843,0.90
